Code_form,Country_code,Country_code_desc,Project_code,Project_code_desc,District,Village,Village_Type,Household_code,Latitude,Longitude,Period,Marital_status,Year_formed,Hh_born,Hh_lived,Hh_ethnic,Hh_spouse,Hh_spouse_ethnic,Hh_cooking_tech,Hh_floor2,Hh_walls2,Hh_roof2,Hh_own_in,Hh_own_out,Hh_water,Hh_toilet,Hh_electric,Hh_cooking_fuel,Hh_clear,perwell_comp,income_suff,==...,hh_head_female,hh_head_age,hh_head_educ,hh_head_days_ill,hh_member,hh_children,hh_adult,hh_elderly,hh_dependency_ratio,hh_head_occup_agric,land_tot_used,land_tot_rent,land_tot_borrow,land_forest_used,land_forest_rent,land_forest_borrow,land_ag_used,land_ag_rent,land_ag_borrow,land_tot,land_forest_tot,land_ag_tot,forest_share,ag_share,tenure_security,owns_tv,owns_motorcycle,owns_cellphone,total_asset_value,income_forest,business_net_income,total_salary,agric_salary,income_other_tot,income_gov_trans,income_remittances,income_nonforest,hh_clearing_total,country_project,HH_adults,HH_adult_equivalents,HH_house_condition_index,hh_utility_index,year,int_nonREDD_ongoing_sum,int_nonREDD_ended_sum,int_avail_bin_CLE,int_avail_sum_CLE,int_avail_bin_EE,int_avail_sum_EE,int_avail_bin_FE,int_avail_sum_FE,int_avail_bin_NCLE,int_avail_sum_NCLE,int_avail_bin_RFAC,int_avail_sum_RFAC,int_avail_bin_TC,int_avail_sum_TC,int_avail_bin_OI,int_avail_sum_OI,int_invol_bin_CLE,int_invol_sum_CLE,int_invol_bin_EE,int_invol_sum_EE,int_invol_bin_FE,int_invol_sum_FE,int_invol_bin_NCLE,int_invol_sum_NCLE,int_invol_bin_RFAC,int_invol_sum_RFAC,int_invol_bin_TC,int_invol_sum_TC,int_invol_bin_OI,int_invol_sum_OI,int_chnge_bin_CLE,int_chnge_sum_CLE,int_chnge_bin_EE,int_chnge_sum_EE,int_chnge_bin_FE,int_chnge_sum_FE,int_chnge_bin_NCLE,int_chnge_sum_NCLE,int_chnge_bin_RFAC,int_chnge_sum_RFAC,int_chnge_bin_TC,int_chnge_sum_TC,int_chnge_bin_OI,int_chnge_sum_OI,int_availALL_bin_CLE,int_availALL_sum_CLE,int_availALL_bin_EE,int_availALL_sum_EE,int_availALL_bin_FE,int_availALL_sum_FE,int_availALL_bin_NCLE,int_availALL_sum_NCLE,int_availALL_bin_RFAC,int_availALL_sum_RFAC,int_availALL_bin_TC,int_availALL_sum_TC,int_availALL_bin_OI,int_availALL_sum_OI,int_involALL_bin_CLE,int_involALL_sum_CLE,int_involALL_bin_EE,int_involALL_sum_EE,int_involALL_bin_FE,int_involALL_sum_FE,int_involALL_bin_NCLE,int_involALL_sum_NCLE,int_involALL_bin_RFAC,int_involALL_sum_RFAC,int_involALL_bin_TC,int_involALL_sum_TC,int_involALL_bin_OI,int_involALL_sum_OI,int_chngeALL_bin_CLE,int_chngeALL_sum_CLE,int_chngeALL_bin_EE,int_chngeALL_sum_EE,int_chngeALL_bin_FE,int_chngeALL_sum_FE,int_chngeALL_bin_NCLE,int_chngeALL_sum_NCLE,int_chngeALL_bin_RFAC,int_chngeALL_sum_RFAC,int_chngeALL_bin_TC,int_chngeALL_sum_TC,int_chngeALL_bin_OI,int_chngeALL_sum_OI,int_cat_tot_avail,int_cat_pos_avail,int_cat_ena_avail,int_cat_neg_avail,int_cat_tot_invol,int_cat_pos_invol,int_cat_ena_invol,int_cat_neg_invol,int_cat_tot_chnge,int_cat_pos_chnge,int_cat_ena_chnge,int_cat_neg_chnge,int_cat_tot_availALL,int_cat_pos_availALL,int_cat_ena_availALL,int_cat_neg_availALL,int_cat_tot_involALL,int_cat_pos_involALL,int_cat_ena_involALL,int_cat_neg_involALL,int_cat_tot_chngeALL,int_cat_pos_chngeALL,int_cat_ena_chngeALL,int_cat_neg_chngeALL,DY_forest_share,DY_perwell_comp,DY_income_suff
101/01/02,101,Brazil,01,Acre State System of Incentives for Environmental Services (SISA),Feijó,Açaizal,1,02,038413,9059525,0,1,41,1,32,1,0,1,1,2,2,3,2,1,3,3,1,2,1,1,1,TRUE,0,61,0,0,3,0,3,0,0,1,100,0,0,15,0,0,85,0,0,100,15,85,0.15,0.85,0,0,1,0,13170,0,1440,6120,0,12490,0,0,NA,0,101_01,3,2.4,7,7,2010,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,7,1,0,0,0,0,0,0,8,2,1,1,2,1,0,0,0,0,0,0,0.31979865771812077,1,0
101/01/03,101,Brazil,01,Acre State System of Incentives for Environmental Services (SISA),Feijó,Açaizal,1,03,0385086,9058666,0,1,42,0,39,1,0,1,2,2,2,1,1,0,3,1,1,2,1,0,-1,TRUE,0,49,0,36,5,3,2,0,0.6,1,30,0,0,22.5,0,0,7,0,0,30,22.5,7,0.75,0.23333333333333334,1,0,0,0,3515.050048828125,108,1440,160,60,1608,1608,0,NA,0,101_01,2,3.2,5,5,2010,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,7,1,0,0,0,0,0,0,8,2,1,1,1,1,0,0,0,0,0,0,-0.030000000000000027,0,-1
101/01/04,101,Brazil,01,Acre State System of Incentives for Environmental Services (SISA),Feijó,Açaizal,1,04,0382194,9059780,0,3,14,0,22.037037037037038,1,0.44,0.96,2,3,2,3,1,0,3,3,1,2,1,1,-1,TRUE,1,44,0,240,5,1,4,0,0.2,0,100,0,0,86.5,0,0,10.5,0,0,100,86.5,10.5,0.865,0.105,1,0,0,1,35320,1597,1440,1200,0,7330,1080,0,NA,0,101_01,4,3.5999999999999996,8,7,2010,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,7,2,1,0,7,2,0,0,2,2,0,0,8,2,1,1,5,2,0,0,2,2,0,0,-0.018333333333333313,1,0
101/01/05,101,Brazil,01,Acre State System of Incentives for Environmental Services (SISA),Feijó,Açaizal,1,05,0384570,9058829,0,1,21,0,29,1,0,1,2,2,2,3,1,0,3,1,1,2,1,1,0,TRUE,0,42,3,1,9,5,4,0,0.5555555555555556,1,150,0,0,140.5,0,0,9.5,0,0,150,140.5,9.5,0.9366666666666666,0.06333333333333334,1,0,0,0,1450,1276.5,1440,380,80,4493.423076923077,2795.0384615384614,NA,NA,3,101_01,4,5.6,7,5,2010,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,7,2,1,0,0,0,0,0,8,2,1,1,5,2,1,0,0,0,0,0,-0.16000000000000003,1,0
101/01/06,101,Brazil,01,Acre State System of Incentives for Environmental Services (SISA),Feijó,Açaizal,1,06,0383919,9059180,0,1,6,1,29,1,1,1,2,2,2,3,1,0,3,1,1,2,1,1,0,TRUE,0,29,4,0,5,3,2,0,0.6,1,150,0,0,143,0,0,7,0,0,150,143,7,0.9533333333333334,0.04666666666666667,0,0,0,0,1360,192,1440,400,400,1714,0,0,NA,0,101_01,2,3.2,7,5,2010,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,7,2,0,0,0,0,0,0,8,2,1,1,4,2,0,0,0,0,0,0,-0.025000000000000022,1,0
101/01/07,101,Brazil,01,Acre State System of Incentives for Environmental Services (SISA),Feijó,Açaizal,1,07,0384460,9058982,0,5,27,0,37,1,0.44,0.96,2,1,2,1,1,0,1,1,1,2,0,1,-1,TRUE,1,46,5,0,8,4,4,0,0.5,1,10,0,0,8.5,0,0,1,0,0,10,8.5,1,0.85,0.1,1,0,0,0,250,80,1440,40000,0,1594,0,0,NA,0,101_01,4,5.1,4,3,2010,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,7,1,1,0,1,1,0,0,8,2,1,1,4,1,1,0,1,1,0,0,-0.15000000000000002,1,0
101/01/09,101,Brazil,01,Acre State System of Incentives for Environmental Services (SISA),Feijó,Açaizal,1,09,0381450,9060227,0,1,37,0,47,1,0.44,0.96,2,2,1,1,1,0,3,3,1,2,1,1,1,TRUE,0,84,0,0,6,2,4,1,0.5,0,100.00000005587935,0,0,76,0,0,23.94000005722046,0,0,100.00000005587935,76,23.94000005722046,0.7599999995753169,0.2394000004384294,1,0,0,0,1340,60,1440,5556.665000534058,139.4150005340576,18360,18360,0,NA,0,101_01,4,4.1,4,7,2010,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,7,0,1,0,0,0,0,0,8,2,1,1,1,0,1,0,0,0,0,0,0.05000000042468311,0,0
101/01/10,101,Brazil,01,Acre State System of Incentives for Environmental Services (SISA),Feijó,Açaizal,1,10,0382285,9059864,0,1,16,0,24,1,1,1,2,2,2,3,1,0,3,2,1,2,1,1,0,TRUE,0,39,8,2,7,5,2,0,0.7142857142857143,1,100.00000154972076,0,0,96.4000015258789,0,0,3.600000023841858,0,0,100.00000154972076,96.4000015258789,3.600000023841858,0.9640000003194809,0.03599999968051911,1,0,0,0,1705,407.7323529860553,1440,370,60,1858,1608,0,NA,0,101_01,2,4.2,7,6,2010,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,7,2,0,0,1,1,0,0,8,2,1,1,5,2,0,1,1,1,0,0,-0.0784278610159983,1,0
101/01/101,101,Brazil,01,Acre State System of Incentives for Environmental Services (SISA),Feijó,AMSVABR,1,101,0362402,9073893,0,1,31,0,30,1,1,1,2,2,2,1,1,0,3,1,1,2,1,1,0,TRUE,0,52,0,365,7,3,4,0,0.42857142857142855,1,150,0,0,132,0,0,18,0,0,150,132,18,0.88,0.12,0,0,0,0,2305,10,1912,200,200,2230,1980,0,NA,0,101_01,4,4.6,5,5,2010,2,0,1,1,0,0,0,0,1,2,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,1,1,1,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,0,6,2,0,0,0,0,0,0,8,4,1,1,3,3,0,0,0,0,0,0,-0.025833333333333375,1,1
101/01/102,101,Brazil,01,Acre State System of Incentives for Environmental Services (SISA),Feijó,AMSVABR,1,102,0365882,9075635,0,1,7,0,23.86111111111111,1,0.38235294117647056,0.9696969696969697,2,2,2,3,5,0,2,1,2,2,1,1,1,TRUE,0,39,0,20,5,2,3,0,0.4,1,195.5,4.5,0,146,0,0,49.5,4.5,0,200,146,54,0.73,0.27,0,0,1,0,11530,645,1912,715,200,8328,7828,0,NA,11,101_01,3,3.4,7,5,2010,2,0,1,1,0,0,0,0,1,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,0,6,1,1,0,0,0,0,0,8,4,1,1,3,1,1,0,0,0,0,0,-0.21750000000000003,1,0
