"effect","group","term","estimate","std.error","statistic","matching","outcome","n_treated","n_comparison","data","p.value","category","indicator","exposure","step"
"fixed",NA,"int_avail_bin_CLE_1",0.0542111570291814,0.0214617833892452,2.52593906321631,TRUE,"DY_forest_share",188,93,"Short-term",NA,"Binary (any)"," CLE","Available",1
"fixed",NA,"int_avail_bin_EE_1",0.03497133535264,0.0222050957224596,1.57492387286887,TRUE,"DY_forest_share",465,169,"Short-term",NA,"Binary (any)"," EE","Available",1
"fixed",NA,"int_avail_bin_FE_1",0.00297499366893887,0.0498862961578848,0.0596354890634361,TRUE,"DY_forest_share",101,59,"Short-term",NA,"Binary (any)"," FE","Available",1
"fixed",NA,"int_avail_bin_NCLE_1",-0.00392470770686096,0.025624540302887,-0.15316207278141,TRUE,"DY_forest_share",251,125,"Short-term",NA,"Binary (any)"," NCLE","Available",1
"fixed",NA,"int_avail_bin_RFAC_1",0.051478081624625,0.0597999657868416,0.860837977869751,TRUE,"DY_forest_share",85,44,"Short-term",NA,"Binary (any)"," RFAC","Available",1
"fixed",NA,"int_avail_bin_TC_1",0.0388082916705243,0.0179578329081076,2.16107878211759,TRUE,"DY_forest_share",279,56,"Short-term",NA,"Binary (any)"," TC","Available",1
"fixed",NA,"int_avail_bin_OI_1",-0.0285761559202145,0.0281132847734198,-1.01646449892018,TRUE,"DY_forest_share",208,97,"Short-term",NA,"Binary (any)"," OI","Available",1
"fixed",NA,"int_invol_bin_CLE_1",0.0841012445596326,0.0239694506971888,3.50868468460548,TRUE,"DY_forest_share",121,76,"Short-term",NA,"Binary (any)"," CLE","Involved",1
"fixed",NA,"int_invol_bin_EE_1",0.0428190405406328,0.0251127189271485,1.70507385778696,TRUE,"DY_forest_share",178,114,"Short-term",NA,"Binary (any)"," EE","Involved",1
"fixed",NA,"int_invol_bin_FE_1",0.0600630011720944,0.0585720137077045,1.02545562923328,TRUE,"DY_forest_share",54,37,"Short-term",NA,"Binary (any)"," FE","Involved",1
"fixed",NA,"int_invol_bin_NCLE_1",0.0490954594393891,0.0290128571539512,1.6921966416087,TRUE,"DY_forest_share",131,79,"Short-term",NA,"Binary (any)"," NCLE","Involved",1
NA,NA,"int_invol_bin_RFAC_1",0.0394171654210862,0.149719236611537,0.263273887265125,TRUE,"DY_forest_share",11,9,"Short-term",0.795329577563387,"Binary (any)"," RFAC","Involved",1
