DGP_Form,Inference_Form,LOO,LOO_SE,WAIC,WAIC_SE
101,homogenous,56.6475,22.0479,56.7605,22.0386
101,linear,56.1416,21.9945,56.2706,21.9818
101,exponential,56.6614,21.9601,56.7722,21.9513
101,sigmoid,55.7215,22.0195,55.869,22.0063
101,poly2,55.1747,21.9889,55.2929,21.9784
101,poly3,54.4734,21.9765,54.5975,21.9639
102,homogenous,38.5862,18.0055,38.6509,17.9964
102,linear,36.7585,17.4281,36.8365,17.4135
102,exponential,36.6103,17.5049,36.6971,17.4872
102,sigmoid,36.294,17.5032,36.3946,17.544
102,poly2,35.6921,17.4976,35.7996,17.4776
102,poly3,34.7171,17.4713,35.0264,17.441
300,homogenous,-7.3647,17.9038,-7.3239,17.899
300,linear,-8.8637,18.7695,-8.8267,18.7637
300,exponential,-8.833,18.7834,-8.7862,18.7751
300,sigmoid,-9.4103,18.7577,-9.3831,18.7571
300,poly2,-9.8117,18.7849,-9.7338,18.7757
300,poly3,-9.0627,18.7071,-8.953,18.697
