DGP_Form,Inference_Form,LOO,LOO_SE,WAIC,WAIC_SE
101,homogenous,194.4866,36.0523,194.5772,36.041
101,linear,194.5291,35.9011,194.6008,35.8953
101,exponential,194.4448,35.9266,194.5036,35.9247
101,sigmoid,194.1812,35.9341,194.2275,35.9346
101,poly2,193.2176,35.8837,193.3032,35.8743
101,poly3,192.9104,35.8219,192.9737,35.8176
102,homogenous,77.1539,21.0096,77.2015,21.0014
102,linear,76.5124,21.1425,76.5567,21.139
102,exponential,76.566,21.1447,76.615,21.136
102,sigmoid,76.5586,21.1253,76.7,21.1153
102,poly2,75.4554,21.1293,75.5,21.1256
102,poly3,74.6655,21.1574,74.7489,21.1457
300,homogenous,-21.8431,16.4054,-21.818,16.4022
300,linear,-17.4221,16.5162,-17.3965,16.5125
300,exponential,-16.8742,16.5631,-16.8507,16.5599
300,sigmoid,-17.9725,16.5747,-17.9444,16.5713
300,poly2,-17.1881,16.5181,-17.1478,16.5153
300,poly3,-18.3143,16.5086,-18.0874,16.502
